Date,Non indexées,Dans l'index,Impressions
2025-07-29,4,1,0
2025-07-30,4,1,2
2025-07-31,4,1,0
2025-08-01,4,1,0
2025-08-02,4,1,0
2025-08-03,4,1,0
2025-08-04,4,1,0
2025-08-05,4,1,0
2025-08-06,4,1,0
2025-08-07,4,1,0
2025-08-08,4,1,0
2025-08-09,4,1,0
2025-08-10,4,1,0
2025-08-11,4,1,0
2025-08-12,4,1,0
2025-08-13,4,1,0
2025-08-14,4,1,0
2025-08-15,4,1,0
2025-08-16,4,1,0
2025-08-17,4,1,1
2025-08-18,4,1,0
2025-08-19,4,1,1
2025-08-20,4,1,1
2025-08-21,4,1,0
2025-08-22,4,1,0
2025-08-23,4,1,0
2025-08-24,4,1,0
2025-08-25,4,1,0
2025-08-26,4,1,0
2025-08-27,4,1,3
2025-08-28,4,1,0
2025-08-29,4,1,0
2025-08-30,4,1,0
2025-08-31,4,1,0
2025-09-01,4,1,1
2025-09-02,4,1,0
2025-09-03,5,1,2
2025-09-04,5,1,1
2025-09-05,5,1,0
2025-09-06,5,1,0
2025-09-07,6,2,1
2025-09-08,6,2,4
2025-09-09,6,2,6
2025-09-10,7,1,6
2025-09-11,7,1,1
2025-09-12,7,1,6
2025-09-13,7,1,3
2025-09-14,8,1,0
2025-09-15,8,1,1
2025-09-16,8,1,7
2025-09-17,37,30,2
2025-09-18,37,30,3
2025-09-19,37,30,4
2025-09-20,37,30,4
2025-09-21,41,30,6
2025-09-22,41,30,2
2025-09-23,41,30,7
2025-09-24,44,33,16
2025-09-25,44,33,10
2025-09-26,44,33,5
2025-09-27,44,33,3
2025-09-28,44,33,2
2025-09-29,44,33,5
2025-09-30,44,33,4
2025-10-01,45,34,1
2025-10-02,45,34,10
2025-10-03,45,34,4
2025-10-04,45,34,3
2025-10-05,51,34,1
2025-10-06,51,34,3
2025-10-07,51,34,2
2025-10-08,46,38,4
2025-10-09,46,38,9
2025-10-10,46,38,5
2025-10-11,46,38,2
2025-10-12,47,37,2
2025-10-13,47,37,3
2025-10-14,47,37,2
2025-10-15,47,38,8
2025-10-16,47,38,5
2025-10-17,47,38,3
2025-10-18,47,38,2
2025-10-19,47,39,3
2025-10-20,47,39,9
2025-10-21,47,39,11
2025-10-22,47,39,13
2025-10-23,47,39,13
2025-10-24,47,39,23
2025-10-25,47,39,8
